label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
M,0.20186666666666667,0.06776666666666666,-0.8046666666666665,0.5542,0.0,0.0075,0.2195,0.0044,0.5567,0.7822,-0.12120000000000002,-0.28826666666666667,-0.5389333333333334,0.0,0.0,1.0,0.4861,1.0
M,0.2033,0.066,-0.8039,0.5550333333333334,0.0,0.0192,0.2199,0.0086,0.5402,0.7818999999999999,-0.11963333333333333,-0.2897,-0.5389,0.0,0.0,1.0,0.5673,1.0
M,0.2031333333333333,0.06576666666666665,-0.8034333333333333,0.5557666666666666,0.0,0.0534,0.224,0.0101,0.5552,0.7817666666666666,-0.12023333333333334,-0.28983333333333333,-0.5389,0.0,0.0,1.0,0.6009,1.0
O,0.3836,-0.5238333333333333,-0.33066666666666666,0.6849,0.0,0.4535,0.3483,0.6673,0.9609,0.7661000000000001,-0.1878,0.6058,0.10423333333333333,0.5362,0.0,0.0,0.4805,0.0
O,0.37810000000000005,-0.5280666666666667,-0.33590000000000003,0.6822333333333334,0.0,0.4252,0.349,0.6616,0.9354,0.7662666666666667,-0.1867,0.6061333333333333,0.1028,0.5312,0.0,0.0,0.3798,0.0
O,0.3774,-0.5279666666666667,-0.3374,0.6820333333333334,0.0,0.4293,0.3464,0.659,0.9459,0.7661333333333333,-0.18600000000000003,0.6065666666666667,0.1024,0.5372,0.0,0.0,0.3504,0.0
O,0.37670000000000003,-0.5275,-0.33816666666666667,0.6822666666666667,0.0,0.4594,0.3448,0.6601,0.9279,0.7662,-0.1862,0.6064,0.10246666666666666,0.5346,0.0,0.0,0.3966,0.0
O,0.3751333333333333,-0.5270333333333334,-0.3417333333333333,0.6817666666666667,0.0,0.451,0.3456,0.7006,0.9249,0.7657333333333334,-0.18910000000000002,0.6057666666666667,0.10446666666666667,0.5205,0.0,0.0,0.307,0.0
O,0.3749,-0.525,-0.34263333333333335,0.6829666666666666,0.0,0.4435,0.3471,0.6554,0.9339,0.7656,-0.19000000000000003,0.6054666666666667,0.10543333333333334,0.5015,0.0203,0.0,0.314,0.0
O,0.3746,-0.5244333333333333,-0.34313333333333335,0.6833,0.0,0.446,0.3479,0.6653,0.9279,0.7656333333333333,-0.18989999999999999,0.6054666666666667,0.10566666666666667,0.5108,0.0114,0.0,0.321,0.0
O,0.37526666666666664,-0.5234333333333333,-0.3431666666666667,0.6836666666666668,0.0,0.431,0.3464,0.6523,0.9324,0.7658999999999999,-0.19003333333333336,0.6050333333333333,0.1062,0.5032,0.038,0.0,0.2524,0.0
O,0.375,-0.5237333333333334,-0.3431,0.6836666666666668,0.0,0.4535,0.346,0.6637,0.9083,0.7663666666666668,-0.1896,0.6046333333333334,0.1057,0.4855,0.0266,0.0,0.2552,0.0
O,0.37526666666666664,-0.5237666666666667,-0.34240000000000004,0.6838000000000001,0.0,0.4343,0.3448,0.659,0.9068,0.7662333333333334,-0.18983333333333333,0.6046666666666667,0.10613333333333334,0.4908,0.0177,0.0,0.2188,0.0
